-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2022 through 10/31/2022 
Location: Latitude  18.4539   Longitude 72.9119 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 121.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR
2022,5,1,0.02
2022,5,2,0.02
2022,5,3,0.02
2022,5,4,0.01
2022,5,5,0.0
2022,5,6,0.04
2022,5,7,0.01
2022,5,8,0.18
2022,5,9,0.2
2022,5,10,0.17
2022,5,11,0.14
2022,5,12,0.15
2022,5,13,0.08
2022,5,14,0.09
2022,5,15,0.07
2022,5,16,0.17
2022,5,17,0.45
2022,5,18,0.14
2022,5,19,1.24
2022,5,20,0.51
2022,5,21,0.32
2022,5,22,0.46
2022,5,23,0.9
2022,5,24,0.71
2022,5,25,0.26
2022,5,26,0.04
2022,5,27,0.01
2022,5,28,0.01
2022,5,29,0.01
2022,5,30,0.01
2022,5,31,0.33
2022,6,1,1.48
2022,6,2,0.26
2022,6,3,0.26
2022,6,4,0.24
2022,6,5,0.23
2022,6,6,0.3
2022,6,7,2.36
2022,6,8,1.61
2022,6,9,3.1
2022,6,10,18.61
2022,6,11,16.54
2022,6,12,4.38
2022,6,13,2.75
2022,6,14,2.13
2022,6,15,4.37
2022,6,16,10.08
2022,6,17,6.7
2022,6,18,6.15
2022,6,19,29.32
2022,6,20,14.83
2022,6,21,11.67
2022,6,22,13.2
2022,6,23,13.64
2022,6,24,21.95
2022,6,25,14.88
2022,6,26,28.21
2022,6,27,29.6
2022,6,28,13.3
2022,6,29,36.45
2022,6,30,43.93
2022,7,1,56.31
2022,7,2,22.27
2022,7,3,17.69
2022,7,4,59.01
2022,7,5,76.66
2022,7,6,67.37
2022,7,7,46.77
2022,7,8,74.46
2022,7,9,45.6
2022,7,10,53.58
2022,7,11,69.73
2022,7,12,68.24
2022,7,13,78.95
2022,7,14,87.54
2022,7,15,30.95
2022,7,16,28.36
2022,7,17,16.5
2022,7,18,16.57
2022,7,19,17.75
2022,7,20,11.78
2022,7,21,9.37
2022,7,22,6.71
2022,7,23,19.68
2022,7,24,19.7
2022,7,25,13.5
2022,7,26,5.54
2022,7,27,15.31
2022,7,28,18.4
2022,7,29,2.17
2022,7,30,1.62
2022,7,31,3.39
2022,8,1,2.38
2022,8,2,8.57
2022,8,3,8.8
2022,8,4,11.99
2022,8,5,10.71
2022,8,6,23.83
2022,8,7,50.55
2022,8,8,92.25
2022,8,9,78.42
2022,8,10,34.13
2022,8,11,38.38
2022,8,12,21.17
2022,8,13,19.51
2022,8,14,17.37
2022,8,15,28.45
2022,8,16,25.72
2022,8,17,17.63
2022,8,18,14.45
2022,8,19,11.66
2022,8,20,12.71
2022,8,21,9.9
2022,8,22,16.47
2022,8,23,19.93
2022,8,24,10.8
2022,8,25,5.29
2022,8,26,2.3
2022,8,27,0.36
2022,8,28,0.71
2022,8,29,1.69
2022,8,30,1.8
2022,8,31,6.21
2022,9,1,9.9
2022,9,2,7.88
2022,9,3,7.74
2022,9,4,8.48
2022,9,5,10.58
2022,9,6,11.65
2022,9,7,8.06
2022,9,8,61.54
2022,9,9,9.03
2022,9,10,11.13
2022,9,11,22.95
2022,9,12,34.83
2022,9,13,25.3
2022,9,14,25.55
2022,9,15,37.74
2022,9,16,41.12
2022,9,17,24.66
2022,9,18,22.42
2022,9,19,8.76
2022,9,20,4.04
2022,9,21,2.35
2022,9,22,2.94
2022,9,23,6.73
2022,9,24,4.57
2022,9,25,5.25
2022,9,26,2.44
2022,9,27,1.09
2022,9,28,1.52
2022,9,29,5.3
2022,9,30,20.09
2022,10,1,6.03
2022,10,2,3.57
2022,10,3,0.22
2022,10,4,2.16
2022,10,5,2.1
2022,10,6,13.08
2022,10,7,36.94
2022,10,8,9.64
2022,10,9,0.3
2022,10,10,0.71
2022,10,11,12.7
2022,10,12,6.69
2022,10,13,14.14
2022,10,14,36.61
2022,10,15,7.57
2022,10,16,0.52
2022,10,17,5.24
2022,10,18,27.46
2022,10,19,1.9
2022,10,20,1.16
2022,10,21,9.45
2022,10,22,0.25
2022,10,23,0.0
2022,10,24,0.0
2022,10,25,0.0
2022,10,26,0.0
2022,10,27,0.0
2022,10,28,0.0
2022,10,29,0.0
2022,10,30,0.0
2022,10,31,0.0
